City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tiruvalla,IN,74.03,overcast clouds,9.3833,76.5667,Victoria
5,Hithadhoo,MV,81.12,overcast clouds,-0.6,73.0833,Pebbles Inn
7,Qeshm,IR,73.29,broken clouds,26.9581,56.2719,هتل آپادانا
9,Port Elizabeth,ZA,70.32,clear sky,-33.918,25.5701,Waterford Hotel
15,Georgetown,MY,79.23,few clouds,5.4112,100.3354,Page 63 hostel
17,Kismayo,SO,79.07,broken clouds,-0.3582,42.5454,Kismayo Hotel
18,Jacareacanga,BR,74.35,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
25,Coro,VE,76.98,overcast clouds,11.4045,-69.6734,Urumaco Suite
31,Sao Felix Do Xingu,BR,70.79,overcast clouds,-6.6447,-51.995,Hotel Terraço
34,Trincomalee,LK,77.36,broken clouds,8.5711,81.2335,Silver Star Inn
44,Saint-Philippe,RE,71.19,overcast clouds,-21.3585,55.7679,Le Baril
51,Mana,GF,76.24,overcast clouds,5.6592,-53.7767,Le Samana
59,Ambilobe,MG,75.45,overcast clouds,-13.2,49.05,Hôtel National
62,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Prainha
72,Hambantota,LK,74.44,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
75,Makurdi,NG,75.29,clear sky,7.7411,8.5121,Benue Hotel and Resort
77,Mercedes,AR,82.63,few clouds,-34.6515,-59.4307,Gran Hotel Mercedes
83,Cidreira,BR,70.7,broken clouds,-30.1811,-50.2056,Hotel Castelo
86,Omboue,GA,74.95,light rain,-1.5746,9.2618,Georges Faustin Aurat
95,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Grand Bel Air
96,Banda Aceh,ID,77.32,overcast clouds,5.5577,95.3222,Hotel 61
98,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
103,Mango,US,75.99,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
107,Itarema,BR,77.76,overcast clouds,-2.9248,-39.9167,Pousada Oásis
113,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Hotel SkylineInn
116,Cockburn Town,TC,80.4,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
119,Victoria,HK,78.85,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
123,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,Aliança
127,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
128,Santa Fe,AR,89.01,light rain,-31.6333,-60.7,Intersur Hotel
134,Podor,MR,78.17,clear sky,16.6527,-14.9587,La Cour du Fleuve
137,Imbituba,BR,73.85,broken clouds,-28.24,-48.6703,Silvestre Praia Hotel
140,Angoche,MZ,76.44,light rain,-16.2325,39.9086,Hotel Quirimbas
141,Sao Miguel Do Araguaia,BR,71.76,broken clouds,-13.275,-50.1628,Hotel São Miguel
143,Sao Gabriel Da Cachoeira,BR,73.89,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
146,Pimenta Bueno,BR,79.34,broken clouds,-11.6725,-61.1936,Cristalina palace hotel
154,Salinopolis,BR,77.88,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
157,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
166,Mitsamiouli,KM,77.36,broken clouds,-11.3847,43.2844,Hotel le Paradis
167,Manta,EC,74.98,clear sky,-0.95,-80.7333,La Gaviota
168,Sao Filipe,CV,75.11,clear sky,14.8961,-24.4956,Bela Vista
171,Yenagoa,NG,76.37,broken clouds,4.9247,6.2642,Peretimi Hotels Ltd.
175,Salalah,OM,75.29,scattered clouds,17.0151,54.0924,Muscat International Hotel
177,Tacuarembo,UY,76.23,broken clouds,-31.7333,-55.9833,Hotel Carlos Gardel
180,Meulaboh,ID,75.79,overcast clouds,4.1363,96.1285,Hotel Meuligou
182,Siavonga,ZM,72.09,light rain,-16.5382,28.7088,Lake Safari Lodge Annex
183,Bengkulu,ID,75.99,overcast clouds,-3.8004,102.2655,Dena Hotel
184,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Tropic Hotel
187,Carepa,CO,74.98,light intensity drizzle,7.7585,-76.6525,Hotel La Plaza de Carepa
188,Tucuman,AR,78.8,light rain,-26.8241,-65.2226,Suites San Luis
193,Acajutla,SV,78.8,scattered clouds,13.5928,-89.8275,Hotel Lara
199,Beberibe,BR,77.94,scattered clouds,-4.1797,-38.1306,Pousada Ibitu
208,Marawi,PH,73.33,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
215,Gulfport,US,73.4,mist,30.3674,-89.0928,Wingate by Wyndham Gulfport
223,Alto Araguaia,BR,75.65,scattered clouds,-17.3147,-53.2153,Hotel Araguaia
234,Chake Chake,TZ,75.07,light rain,-5.2459,39.7666,Annex Pemba Hotel
236,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
240,Mahanoro,MG,73.49,broken clouds,-19.9,48.8,Vanilla Bungalow
244,Porto Novo,BJ,78.66,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
