City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiruvalla,IN,2022-11-30 00:22:17,9.3833,76.5667,74.03,94,98,2.51,overcast clouds
1,Bredasdorp,ZA,2022-11-30 00:22:18,-34.5322,20.0403,64.4,74,13,3.96,few clouds
2,Jalu,LY,2022-11-30 00:22:18,29.0331,21.5482,58.71,50,0,8.25,clear sky
3,Teodoro Sampaio,BR,2022-11-30 00:22:19,-22.5325,-52.1675,72.73,63,76,7.36,broken clouds
4,Bjornevatn,NO,2022-11-30 00:22:19,69.6672,29.9847,35.22,80,75,17.27,broken clouds
5,Hithadhoo,MV,2022-11-30 00:22:20,-0.6,73.0833,81.12,74,99,7.56,overcast clouds
6,Visnes,NO,2022-11-30 00:22:20,59.3556,5.2242,45.21,75,100,6.91,overcast clouds
7,Qeshm,IR,2022-11-30 00:22:21,26.9581,56.2719,73.29,64,51,7.16,broken clouds
8,Maragheh,IR,2022-11-30 00:22:21,37.3917,46.2398,41.27,87,75,2.3,mist
9,Port Elizabeth,ZA,2022-11-30 00:21:05,-33.918,25.5701,70.32,81,0,17.27,clear sky
10,Ushuaia,AR,2022-11-30 00:22:22,-54.8,-68.3,47.86,61,75,5.75,broken clouds
11,Dikson,RU,2022-11-30 00:22:22,73.5069,80.5464,2.32,100,96,5.12,overcast clouds
12,Sisimiut,GL,2022-11-30 00:22:23,66.9395,-53.6735,16.88,89,80,13.96,broken clouds
13,Necochea,AR,2022-11-30 00:22:23,-38.5473,-58.7368,65.08,91,87,13.65,light rain
14,Trapani,IT,2022-11-30 00:22:24,37.8333,12.6667,51.89,87,40,2.3,scattered clouds
15,Georgetown,MY,2022-11-30 00:21:14,5.4112,100.3354,79.23,91,20,2.3,few clouds
16,Port Alfred,ZA,2022-11-30 00:22:24,-33.5906,26.891,70.18,84,54,13.29,broken clouds
17,Kismayo,SO,2022-11-30 00:22:25,-0.3582,42.5454,79.07,80,75,12.21,broken clouds
18,Jacareacanga,BR,2022-11-30 00:22:25,-6.2222,-57.7528,74.35,97,100,1.41,overcast clouds
19,Ilovka,RU,2022-11-30 00:22:26,50.7053,38.637,24.01,57,64,10.83,broken clouds
20,Coihaique,CL,2022-11-30 00:22:26,-45.5752,-72.0662,51.75,50,0,8.05,clear sky
21,Longyearbyen,SJ,2022-11-30 00:22:26,78.2186,15.6401,32.32,96,100,9.91,light snow
22,Punta Arenas,CL,2022-11-30 00:19:03,-53.15,-70.9167,48.11,57,99,23.85,overcast clouds
23,Konevo,RU,2022-11-30 00:20:33,62.1215,39.3192,10.29,98,72,2.95,broken clouds
24,Hamilton,US,2022-11-30 00:21:04,39.1834,-84.5333,59.77,62,20,12.66,few clouds
25,Coro,VE,2022-11-30 00:22:27,11.4045,-69.6734,76.98,85,100,8.75,overcast clouds
26,Nouadhibou,MR,2022-11-30 00:22:28,20.931,-17.0347,64.38,72,0,10.36,clear sky
27,Agirish,RU,2022-11-30 00:22:28,61.9247,63.0231,0.95,100,92,2.55,overcast clouds
28,Soller,ES,2022-11-30 00:22:29,39.7662,2.7152,48.85,88,23,3.83,few clouds
29,Hermanus,ZA,2022-11-30 00:22:30,-34.4187,19.2345,59.81,89,14,6.44,few clouds
30,Caceres,ES,2022-11-30 00:22:30,39.522,-6.3748,42.53,83,65,0.25,broken clouds
