City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kutum,SD,2022-11-25 21:25:24,14.2,24.6667,62.33,16,2,9.95
1,Kalmunai,LK,2022-11-25 21:25:25,7.4167,81.8167,77.22,84,95,5.1
2,Hilo,US,2022-11-25 21:21:19,19.7297,-155.09,77.25,63,100,11.5
3,Jalu,LY,2022-11-25 21:25:25,29.0331,21.5482,63.66,62,14,6.64
4,Busselton,AU,2022-11-25 21:25:26,-33.65,115.3333,58.84,74,78,8.95
5,Banbury,GB,2022-11-25 21:25:26,52.0602,-1.3403,47.12,92,97,9.62
6,Minbu,MM,2022-11-25 21:25:27,20.1833,94.8833,71.26,66,56,4.05
7,Tuktoyaktuk,CA,2022-11-25 21:25:27,69.4541,-133.0374,10.4,92,100,4.61
8,Hermanus,ZA,2022-11-25 21:25:27,-34.4187,19.2345,59.5,65,46,8.01
9,Vaini,TO,2022-11-25 21:25:28,-21.2,-175.2,84.36,74,20,11.5
10,Chattanooga,US,2022-11-25 21:23:57,35.0456,-85.3097,64.26,74,75,8.05
11,Punta Arenas,CL,2022-11-25 21:22:31,-53.15,-70.9167,48.31,57,40,28.77
12,Ushuaia,AR,2022-11-25 21:25:28,-54.8,-68.3,51.42,70,40,31.07
13,Strezhevoy,RU,2022-11-25 21:25:29,60.7333,77.5889,-21.08,93,11,7.94
14,Avarua,CK,2022-11-25 21:25:29,-21.2078,-159.775,78.85,73,75,12.66
15,Saint George,US,2022-11-25 21:25:30,37.1041,-113.5841,57.43,29,0,3.44
16,Oranjemund,NA,2022-11-25 21:25:30,-28.55,16.4333,59.2,79,69,22.32
17,Iqaluit,CA,2022-11-25 21:25:31,63.7506,-68.5145,-2.31,77,40,3.44
18,Trincomalee,LK,2022-11-25 21:25:31,8.5711,81.2335,79.36,72,89,4.94
19,Upernavik,GL,2022-11-25 21:25:31,72.7868,-56.1549,9.19,85,100,5.82
20,Rundu,NA,2022-11-25 21:25:32,-17.9333,19.7667,75.58,44,84,5.19
21,Geraldton,AU,2022-11-25 21:25:32,-28.7667,114.6,50.41,87,75,9.22
22,Champerico,GT,2022-11-25 21:25:33,14.3,-91.9167,91.94,68,100,3.76
23,Requena,ES,2022-11-25 21:25:33,39.4883,-1.1004,51.51,59,7,6.38
24,Bluff,NZ,2022-11-25 21:25:33,-46.6,168.3333,49.89,66,100,13.94
25,Atuona,PF,2022-11-25 21:21:42,-9.8,-139.0333,78.4,67,53,15.21
26,Acambaro,MX,2022-11-25 21:25:34,20.0333,-100.7333,75.06,41,90,8.95
27,Broome,US,2022-11-25 21:25:34,42.2506,-75.833,43.7,70,100,13.8
28,Puerto Madryn,AR,2022-11-25 21:20:56,-42.7692,-65.0385,89.17,20,50,8.61
29,Mataura,NZ,2022-11-25 21:25:35,-46.1927,168.8643,47.98,93,100,6.62
30,Vardo,NO,2022-11-25 21:25:36,70.3705,31.1107,26.58,86,75,16.11
31,Vanimo,PG,2022-11-25 21:25:36,-2.6741,141.3028,77.67,89,98,4.41
32,Itacarambi,BR,2022-11-25 21:25:36,-15.1022,-44.0919,71.89,94,99,6.04
33,Esperance,AU,2022-11-25 21:25:37,-33.8667,121.9,58.69,84,20,8.77
34,Dikson,RU,2022-11-25 21:25:37,73.5069,80.5464,-11.9,100,79,3.31
35,Saskylakh,RU,2022-11-25 21:25:38,71.9167,114.0833,-13.49,98,100,7.09
36,Portland,US,2022-11-25 21:22:17,45.5234,-122.6762,44.74,95,100,6.91
37,Severo-Kurilsk,RU,2022-11-25 21:25:38,50.6789,156.125,31.05,70,100,20.78
38,Ludvika,SE,2022-11-25 21:25:38,60.1496,15.1878,32.77,98,100,1.92
39,Takoradi,GH,2022-11-25 21:25:39,4.8845,-1.7554,79.95,82,5,9.98
40,Esna,EG,2022-11-25 21:25:39,25.2934,32.554,65.7,54,2,6.98
41,Kodiak,US,2022-11-25 21:25:40,57.79,-152.4072,36.91,60,0,10.36
42,Mmathubudukwane,BW,2022-11-25 21:25:40,-24.6,26.4333,75.79,51,86,11.05
43,Hualmay,PE,2022-11-25 21:25:40,-11.0964,-77.6139,72.12,74,31,11.12
44,Rikitea,PF,2022-11-25 21:26:41,-23.1203,-134.9692,73.02,78,99,9.17
45,Chokurdakh,RU,2022-11-25 21:26:41,70.6333,147.9167,-41.03,100,62,0.63
46,Kaitangata,NZ,2022-11-25 21:26:42,-46.2817,169.8464,49.35,81,99,7.56
47,Klaksvik,FO,2022-11-25 21:26:42,62.2266,-6.589,49.12,86,93,27.45
48,Evensk,RU,2022-11-25 21:26:42,61.95,159.2333,-14.24,81,96,9.73
49,Marawi,PH,2022-11-25 21:26:43,7.9986,124.2928,67.37,93,96,2.3
50,Chapais,CA,2022-11-25 21:26:43,49.7834,-74.8492,29.98,89,100,11.97
51,Bredasdorp,ZA,2022-11-25 21:21:52,-34.5322,20.0403,58.48,63,44,1.81
52,Sobolevo,RU,2022-11-25 21:26:44,54.4299,31.8996,26.98,97,100,10.78
53,Albany,US,2022-11-25 21:26:45,42.6001,-73.9662,45.23,69,93,3.0
54,High Level,CA,2022-11-25 21:26:45,58.5169,-117.136,33.91,47,40,11.5
55,Hasaki,JP,2022-11-25 21:25:25,35.7333,140.8333,50.4,60,100,19.04
56,Carnarvon,AU,2022-11-25 21:26:45,-24.8667,113.6333,66.15,71,0,20.11
57,Kotelnich,RU,2022-11-25 21:26:46,58.3089,48.348,16.66,95,100,5.95
58,Cape Town,ZA,2022-11-25 21:26:46,-33.9258,18.4232,62.28,70,0,16.11
59,Jamestown,US,2022-11-25 21:26:47,42.097,-79.2353,42.39,67,100,11.5
60,Castro,BR,2022-11-25 21:26:47,-24.7911,-50.0119,67.41,68,81,5.86
61,Lorengau,PG,2022-11-25 21:26:47,-2.0226,147.2712,82.02,68,92,3.58
62,Shivrajpur,IN,2022-11-25 21:26:48,22.4167,73.65,65.14,36,7,6.51
63,Labrea,BR,2022-11-25 21:26:48,-7.2586,-64.7981,77.61,94,100,3.4
64,Barrow,US,2022-11-25 21:26:49,71.2906,-156.7887,6.82,78,100,16.11
65,Brae,GB,2022-11-25 21:26:49,60.3964,-1.353,49.33,84,37,16.75
66,Banda Aceh,ID,2022-11-25 21:24:37,5.5577,95.3222,78.89,76,100,13.11
67,Egvekinot,RU,2022-11-25 21:26:50,66.3167,-179.1667,1.38,82,100,13.11
68,Tiksi,RU,2022-11-25 21:26:51,71.6872,128.8694,-20.29,97,100,8.1
69,Goderich,CA,2022-11-25 21:26:51,43.7501,-81.7165,41.92,70,100,16.11
70,Puerto Ayora,EC,2022-11-25 21:26:51,-0.7393,-90.3518,76.96,91,53,8.01
71,Alofi,NU,2022-11-25 21:26:52,-19.0595,-169.9187,84.09,65,40,10.36
72,Grindavik,IS,2022-11-25 21:26:52,63.8424,-22.4338,40.95,81,0,13.8
73,Shafranovo,RU,2022-11-25 21:26:53,53.9667,54.7667,24.67,96,100,8.03
74,Port Elizabeth,ZA,2022-11-25 21:26:53,-33.918,25.5701,61.32,71,0,9.22
75,Chuy,UY,2022-11-25 21:26:53,-33.6971,-53.4616,71.47,74,3,7.94
76,Wanning,CN,2022-11-25 21:26:54,18.8003,110.3967,76.06,93,98,3.49
77,Hobart,AU,2022-11-25 21:26:54,-42.8794,147.3294,55.26,84,75,5.75
78,Mahebourg,MU,2022-11-25 21:26:55,-20.4081,57.7,76.24,73,40,11.5
79,Torbay,CA,2022-11-25 21:26:55,47.6666,-52.7314,35.28,88,75,12.66
80,Qaanaaq,GL,2022-11-25 21:26:56,77.484,-69.3632,1.24,76,100,5.7
81,Rancho Palos Verdes,US,2022-11-25 21:24:42,33.7445,-118.387,78.08,15,75,6.91
82,Huaral,PE,2022-11-25 21:25:28,-11.495,-77.2078,73.56,67,18,7.25
83,Vila Velha,BR,2022-11-25 21:26:03,-20.3297,-40.2925,71.55,96,100,5.01
84,Koboko,UG,2022-11-25 21:26:57,3.4136,30.9599,66.24,79,86,1.43
85,Piacabucu,BR,2022-11-25 21:26:57,-10.4056,-36.4344,79.18,79,93,18.12
86,Victoria,HK,2022-11-25 21:23:19,22.2855,114.1577,73.94,90,100,5.01
87,Tarbert,GB,2022-11-25 21:26:58,55.8628,-5.4162,51.28,85,78,10.96
88,Naryan-Mar,RU,2022-11-25 21:26:58,67.6713,53.087,24.31,93,100,10.45
89,Port Lincoln,AU,2022-11-25 21:27:58,-34.7333,135.8667,65.59,68,100,12.62
90,Constitucion,CL,2022-11-25 21:27:59,-35.3333,-72.4167,66.16,63,14,2.91
91,Lebu,CL,2022-11-25 21:27:59,-37.6167,-73.65,61.34,65,5,22.21
92,Saldanha,ZA,2022-11-25 21:28:00,-33.0117,17.9442,60.85,70,0,27.45
93,Yulara,AU,2022-11-25 21:28:00,-25.2406,130.9889,70.3,75,100,2.75
94,Harper,LR,2022-11-25 21:28:01,4.375,-7.7169,78.57,83,0,5.57
95,Shahrud,IR,2022-11-25 21:28:01,36.4182,54.9763,47.23,38,1,4.9
96,Fortuna,US,2022-11-25 21:28:01,40.5982,-124.1573,64.92,55,0,10.36
97,Ayan,RU,2022-11-25 21:28:02,56.45,138.1667,-0.09,79,9,10.89
98,Faanui,PF,2022-11-25 21:28:02,-16.4833,-151.75,79.03,72,58,14.45
99,Dondo,MZ,2022-11-25 21:28:03,-19.6094,34.7431,74.71,92,43,7.02
100,Clyde River,CA,2022-11-25 21:28:03,70.4692,-68.5914,-7.37,84,100,5.75
101,Ilhabela,BR,2022-11-25 21:28:04,-23.7781,-45.3581,69.67,84,96,7.76
102,Kiama,AU,2022-11-25 21:28:04,-34.6833,150.8667,66.0,81,39,1.99
103,Ribeira Grande,PT,2022-11-25 21:28:05,38.5167,-28.7,64.8,77,75,14.97
104,Ahuimanu,US,2022-11-25 21:28:05,21.4447,-157.8378,78.51,55,20,18.41
105,Athabasca,CA,2022-11-25 21:28:06,54.7169,-113.2854,37.81,52,100,14.67
106,Bethel,US,2022-11-25 21:28:06,41.3712,-73.414,52.2,67,78,3.0
107,Sarai Naurang,PK,2022-11-25 21:28:06,32.8259,70.7814,62.94,26,73,1.19
108,Muroto,JP,2022-11-25 21:28:07,33.2833,134.15,63.28,58,100,1.97
109,Khatanga,RU,2022-11-25 21:28:07,71.9667,102.5,-19.44,100,100,5.23
110,Qiongshan,CN,2022-11-25 21:28:07,20.0058,110.3542,76.98,94,75,6.71
111,Noumea,NC,2022-11-25 21:28:03,-22.2763,166.4572,78.01,99,68,9.06
112,Lasa,IT,2022-11-25 21:28:08,46.6166,10.7002,41.88,83,100,5.77
113,Palghar,IN,2022-11-25 21:28:08,19.6833,72.75,75.67,60,46,4.12
114,Pailitas,CO,2022-11-25 21:28:09,8.9565,-73.6255,82.36,86,52,2.89
115,Pevek,RU,2022-11-25 21:28:09,69.7008,170.3133,-3.55,92,100,3.83
116,Tasiilaq,GL,2022-11-25 21:28:09,65.6145,-37.6368,37.56,71,100,35.68
117,Doha,QA,2022-11-25 21:23:34,25.2867,51.5333,76.89,69,0,6.91
118,Dafeng,CN,2022-11-25 21:28:10,23.4517,108.5881,67.59,99,100,2.08
119,Gimli,CA,2022-11-25 21:28:10,50.6336,-96.9907,39.22,70,28,13.8
120,Vitre,FR,2022-11-25 21:28:11,48.1178,-1.2058,44.42,92,77,5.01
121,Saint-Philippe,RE,2022-11-25 21:28:11,-21.3585,55.7679,71.19,80,55,9.78
122,Port Alfred,ZA,2022-11-25 21:28:12,-33.5906,26.891,60.19,83,32,5.79
123,Atasu,KZ,2022-11-25 21:28:12,48.6814,71.6433,5.29,92,23,11.68
124,Mehriz,IR,2022-11-25 21:28:13,31.5917,54.4318,50.5,35,0,4.38
125,Airai,TL,2022-11-25 21:28:13,-8.9266,125.4092,61.07,88,100,1.05
126,Comodoro Rivadavia,AR,2022-11-25 21:28:13,-45.8667,-67.5,78.66,25,100,37.98
127,New Norfolk,AU,2022-11-25 21:28:14,-42.7826,147.0587,54.91,70,100,2.71
128,Mar Del Plata,AR,2022-11-25 21:28:14,-38.0023,-57.5575,64.83,82,20,14.97
129,Uberaba,BR,2022-11-25 21:26:26,-19.7483,-47.9319,77.58,65,40,3.44
130,Longyearbyen,SJ,2022-11-25 21:28:15,78.2186,15.6401,19.24,93,40,10.36
131,Arraial Do Cabo,BR,2022-11-25 21:28:15,-22.9661,-42.0278,73.36,88,40,20.71
132,Konakovo,RU,2022-11-25 21:28:16,56.7,36.7667,9.09,97,94,5.08
133,Mikhaylovka,RU,2022-11-25 21:29:16,50.06,43.2379,36.79,88,100,13.11
134,Tamiahua,MX,2022-11-25 21:29:17,21.2667,-97.45,77.58,83,72,13.96
135,Tecoanapa,MX,2022-11-25 21:29:17,16.5167,-98.75,84.38,68,52,8.41
136,Vila Franca Do Campo,PT,2022-11-25 21:29:17,37.7167,-25.4333,69.19,91,100,17.52
